arch,version,run,source,status,info_ratio,ann_vol,mdd,sortino,var99,calmar,cagr,ulcer,es99,sharpe,ann_return,mdd_duration,es95,hit_rate,var95
cnn,fast1000,cnn_base_20250819_192355,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_base_20250820_000655,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_base_20250820_002357,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_base_20250820_004658,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_base_20250820_005658,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_base_20250820_084654,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_base_20250820_084724,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_base_20250820_085234,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_bo_20250820_000626,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_bo_20250820_002258,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_bo_20250820_004756,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,fast1000,cnn_bo_20250820_005737,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_base_20250819_192356,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_base_20250820_000626,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_base_20250820_002258,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_base_20250820_004825,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_base_20250820_005803,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_bo_20250820_000627,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_bo_20250820_002258,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_bo_20250820_004858,(none),skipped_no_wealth,,,,,,,,,,,,,,,
cnn,super300,cnn_bo_20250820_005816,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_base_20250819_192355,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_base_20250820_000626,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_base_20250820_002258,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_base_20250820_004727,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_base_20250820_005658,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_base_20250820_084654,(none),skipped_no_wealth,,,,,,,,,,,,,,,
